study_ID,long_cite,short_cite,doi,peer_reviewed,coder,expt_num,expt_condition,same_infant,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,trial_control,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,r ,d,d_var,corr,source_of_data,test_lang,stimuli_link,data_link,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,mean_vocab,procedure_secondary,num_looking_to_match
MacKain1983,"MacKain, K., Studdert-Kennedy, M., Spieker, S., & Stern, D. (1983). Infant intermodal speech perception is a left-hemisphere function. Science, 219(4590), 1347-1349.",MacKain et al. (1983),,yes,Chris Cox,1,1,1,eye-tracking,test_only,looking_while_listening,proportion_total_looking_time,within_one,English,fixed,typical,,,18,,177.2,,0.54,0.50,,,2.99,,,,,,paper,native,CVCV,,30.4,,,,0.56,,12,,,
KuhlMeltzoff1984,"Kuhl, P. K., & Meltzoff, A. N. (1984). The intermodal representation of speech in infants. Infant behavior and development, 7(3), 361-381.",Kuhl & Meltzoff (1984),,yes,Chris Cox,1,1,1,eye-tracking,familiarization,looking_while_listening,proportion_total_looking_time,within_one,English,fixed,typical,,,32,,135.1,,0.74,0.50,,,4.67,,,,,,paper,native,"/a/,/i/",,14.7,,10,,,,12,,,24
WalkerAndrews1991,"Walker-Andrews, A. S., Bahrick, L. E., Raglioni, S. S., & Diaz, I. (1991). Infants' bimodal perception of gender. Ecological Psychology, 3(2), 55-75.",Walker-Andrews et al. (1991),,yes,Chris Cox,1,Trial_one_to_eight,4_mos,eye-tracking,test_only,looking_while_listening,proportion_total_looking_time,within_one,English,fixed,typical,,,16,,129.4 (9.1),,0.526,0.50,0.29,,,,,,,,paper,native,passage,,,,8,,0.50,,2,,,11
WalkerAndrews1991,"Walker-Andrews, A. S., Bahrick, L. E., Raglioni, S. S., & Diaz, I. (1991). Infants' bimodal perception of gender. Ecological Psychology, 3(2), 55-75.",Walker-Andrews et al. (1991),,yes,Chris Cox,1,Trial_nine_to_sixteen,4_mos,eye-tracking,test_only,looking_while_listening,proportion_total_looking_time,within_one,English,fixed,typical,,,16,,129.4 (9.1),,0.636,0.5,0.25,,,,,,,,paper,native,passage,,,,8,,0.50,,2,,,11
WalkerAndrews1991,"Walker-Andrews, A. S., Bahrick, L. E., Raglioni, S. S., & Diaz, I. (1991). Infants' bimodal perception of gender. Ecological Psychology, 3(2), 55-75.",Walker-Andrews et al. (1991),,yes,Chris Cox,1,Trial_one_to_eight,6_mos,eye-tracking,test_only,looking_while_listening,proportion_total_looking_time,within_one,English,fixed,typical,,,16,,179.1 (8.23),,0.523,0.50,0.220,,,,,,,,paper,native,passage,,,,3,,0.50,,2,,,12
WalkerAndrews1991,"Walker-Andrews, A. S., Bahrick, L. E., Raglioni, S. S., & Diaz, I. (1991). Infants' bimodal perception of gender. Ecological Psychology, 3(2), 55-75.",Walker-Andrews et al. (1991),,yes,Chris Cox,1,Trial_nine_to_sixteen,6_mos,eye-tracking,test_only,looking_while_listening,proportion_total_looking_time,within_one,English,fixed,typical,,,16,,179.1 (8.23),,0.642,0.5,0.2,,,,,,,,paper,native,passage,,,,3,,0.50,,2,,,12
WalkerAndrews1991,"Walker-Andrews, A. S., Bahrick, L. E., Raglioni, S. S., & Diaz, I. (1991). Infants' bimodal perception of gender. Ecological Psychology, 3(2), 55-75.",Walker-Andrews et al. (1991),,yes,Chris Cox,2,Trial_one_to_eight,3.5_mos,eye-tracking,test_only,looking_while_listening,proportion_total_looking_time,within_one,English,fixed,typical,,,24,,106.6 (5.8),,0.512,0.50,0.110,,,,,,,,paper,native,passage,,,,10,,0.58,,16,,,
WalkerAndrews1991,"Walker-Andrews, A. S., Bahrick, L. E., Raglioni, S. S., & Diaz, I. (1991). Infants' bimodal perception of gender. Ecological Psychology, 3(2), 55-75.",Walker-Andrews et al. (1991),,yes,Chris Cox,2,Trial_nine_to_sixteen,3.5_mos,eye-tracking,test_only,looking_while_listening,proportion_total_looking_time,within_one,English,fixed,typical,,,24,,106.6 (5.8),,0.495,0.50,0.080,,,, ,,,,paper,native,passage,,,,10,,0.58,,16,,,
WalkerAndrews1991,"Walker-Andrews, A. S., Bahrick, L. E., Raglioni, S. S., & Diaz, I. (1991). Infants' bimodal perception of gender. Ecological Psychology, 3(2), 55-75.",Walker-Andrews et al. (1991),,yes,Chris Cox,2,Trial_one_to_eight,6.5_mos,eye-tracking,test_only,looking_while_listening,proportion_total_looking_time,within_one,English,fixed,typical,,,24,,195.8 (4.3),,0.540,0.50,0.090,,,,,,,,paper,native,passage,,,,4,,0.58,,16,,,
WalkerAndrews1991,"Walker-Andrews, A. S., Bahrick, L. E., Raglioni, S. S., & Diaz, I. (1991). Infants' bimodal perception of gender. Ecological Psychology, 3(2), 55-75.",Walker-Andrews et al. (1991),,yes,Chris Cox,2,Trial_nine_to_sixteen,6.5_mos,eye-tracking,test_only,looking_while_listening,proportion_total_looking_time,within_one,English,fixed,typical,,,24,,195.8 (4.3),,0.506,0.50,0.100,,,,,,,,paper,native,passage,,,,4,,0.58,,16,,,
