study_ID,hedge_g,se_hedge_g,n_1,mean_age_1,gender_1,stimuli_type,test_lang,expt_num,expt_condition,hedge_g_calc,significance
Aldridge et al. (1999),1.2423392,0.3877876,16,1.4,0.38,vowel,native,1,vowel_i_match_vs_mismatch,w_baseline,1
Aldridge et al. (1999),0.8709507,0.3707741,16,1.4,0.38,vowel,native,1,vowel_y_match_vs_mismatch,w_baseline,1
Aldridge et al. (1999),0.2492243,0.3549949,16,1.4,0.38,vowel,native,1,vowel_u_match_vs_mismatch,w_baseline,1
Aldridge et al. (1999),2.6609118,0.4913536,16,1.4,0.38,vowel,native,1,vowel_a_match_vs_mismatch,w_baseline,1
Kubicek et al. (2013),-0.1884253,0.2241121,40,377,0.48,passage,native,1,German_familiarization,w_baseline,0
Kubicek et al. (2013),0,0.2236068,40,377,0.48,passage,non-native,1,French_familiarization,w_baseline,0
Kubicek et al. (2014a),-0.2287578,0.2027006,49,372,0.45,ADS,native,1,AD_German,w_baseline,0
Kubicek et al. (2014a),0,0.2020305,47,372,0.45,ADS,non-native,1,AD_French,w_baseline,0
Kubicek et al. (2014b),0.9950896,0.2165814,48,137.9,0.54,passage,native,1.1,4.5m_German_familiarization,w_baseline,1
Kubicek et al. (2014b),-1.5603509,0.2335652,48,137.9,0.54,passage,non-native,1.1,4.5m_French_familiarization,w_baseline,1
Kubicek et al. (2014b),1.1413514,0.2203664,48,195.6,0.48,passage,native,1.1,6m_German_familiarization,w_baseline,1
Kubicek et al. (2014b),0,0.2041241,48,195.6,0.48,passage,non-native,1.1,6m_French_familiarization,w_baseline,0
Kubicek et al. (2014b),0.2110986,0.258936,30,198.5,0.3,passage,native,1.2,6m_German_short_familiarization,w_baseline,0
Kubicek et al. (2014b),0.835559,0.2250431,43,195,0.47,passage,native,2,6m_German_stimuli,w_baseline,1
Kubicek et al. (2014b),1.0298147,0.2297594,43,195,0.47,passage,non-native,2,6m_French_stimuli,w_baseline,1
Kubicek et al. (2014b),-0.1770558,0.2112383,45,368.7,0.62,passage,native,2,12m_German_stimuli,w_baseline,0
Kubicek et al. (2014b),0.901017,0.2214333,45,368.7,0.62,passage,non-native,2,12m_French_stimuli,w_baseline,1
Walker-Andrews et al. (1991),0.10553356,0.3538123,16,129.4,0.5,passage,native,1,Trial_one_to_eight,wo_baseline,0
Walker-Andrews et al. (1991),0.6123212,0.3621675,16,129.4,0.5,passage,native,1,Trial_nine_to_sixteen,wo_baseline,1
Walker-Andrews et al. (1991),0.11234687,0.3538468,16,179.1,0.5,passage,native,1,Trial_one_to_eight,wo_baseline,0
Walker-Andrews et al. (1991),0.73336797,0.3658468,16,179.1,0.5,passage,native,1,Trial_nine_to_sixteen,wo_baseline,1
Walker-Andrews et al. (1991),0.03947975,0.2887042,24,106.6,0.58,passage,native,2,Trial_one_to_eight,wo_baseline,0
Walker-Andrews et al. (1991),-0.01671859,0.2886803,24,106.6,0.58,passage,native,2,Trial_nine_to_sixteen,wo_baseline,0
Walker-Andrews et al. (1991),0.13309664,0.2890053,24,195.8,0.58,passage,native,2,Trial_one_to_eight,wo_baseline,1
Walker-Andrews et al. (1991),0.01985685,0.2886825,24,195.8,0.58,passage,native,2,Trial_nine_to_sixteen,wo_baseline,0
Bahrick et al. (1998),0.07312781,0.3536777,16,126,0.38,passage,native,1,Trial_one_to_eight,wo_baseline,0
Bahrick et al. (1998),0.24804636,0.3549813,16,126,0.38,passage,native,1,Trial_nine_to_sixteen,wo_baseline,1
Bahrick et al. (1998),0.66833645,0.3637924,16,222,0.31,passage,native,1,Trial_one_to_eight,wo_baseline,1
Bahrick et al. (1998),0.47533079,0.3587691,16,222,0.31,passage,native,1,Trial_nine_to_sixteen,wo_baseline,0
Patterson & Werker (2002),0.17301894,0.1771111,64,147.7,0.5,vowel,native,1,gender_vowel_match,wo_baseline,0
Patterson & Werker (2002),0.48144673,0.2536842,32,135.8,0.5,vowel,native,2,4.5_gender_match,wo_baseline,0
Bahrick et al. (2005),-0.10458155,0.3164527,20,122,0.7,,native,1,Trial_one_to_eight,wo_baseline,0
Bahrick et al. (2005),-0.03365789,0.3162511,20,122,0.7,,native,1,Trial_nine_to_sixteen,wo_baseline,0
Bahrick et al. (2005),0.14019786,0.3166319,20,186,0.4,,native,1,Trial_one_to_eight,wo_baseline,1
Bahrick et al. (2005),0.13674418,0.3166122,20,186,0.4,,native,1,Trial_nine_to_sixteen,wo_baseline,0
Guellaï et al. (2016),0.69801475,0.2976225,24,2,0.4583333,passage,native,1,expt_1,wo_baseline,1
Guellaï et al. (2016),0.76481828,0.4239564,12,1.5,0.75,passage,native,2,expt_2,wo_baseline,1
Streri et al. (2016),1.37118593,0.321833,24,91,0.4583333,vowel,native,1,3mos_a_vowel,wo_baseline,
Streri et al. (2016),-1.26587589,0.3171537,24,91,0.4583333,vowel,native,1,3mos_i_vowel,wo_baseline,
Streri et al. (2016),-0.2576823,0.2899108,24,91,0.4583333,vowel,native,1,3mos_u_vowel,wo_baseline,
Streri et al. (2016),0.86731605,0.3023781,24,195,0.5,vowel,native,1,6mos_a_vowel,wo_baseline,
Streri et al. (2016),0,0.2886751,24,195,0.5,vowel,native,1,6mos_i_vowel,wo_baseline,
Streri et al. (2016),1.13993382,0.3119683,24,195,0.5,vowel,native,1,6mos_u_vowel,wo_baseline,
Streri et al. (2016),0.61455612,0.2956344,24,280,0.375,vowel,native,1,9mos_a_vowel,wo_baseline,
Streri et al. (2016),1.15005801,0.3123681,24,280,0.375,vowel,native,1,9mos_i_vowel,wo_baseline,
Streri et al. (2016),1.15005801,0.3123681,24,280,0.375,vowel,native,1,9mos_u_vowel,wo_baseline,
Richoz et al. (2017),-0.11861384,0.2542292,31,195,0.3548387,passage,native,1,6mos_IDS,wo_baseline,0
Richoz et al. (2017),0.40454673,0.256651,31,195,0.3548387,passage,native,1,6mos_ADS,wo_baseline,1
Dorn et al. (2018),0.19623069,0.1446873,96,138.885,,,native,1,4.5mos_German_Swedish,wo_baseline,0
